code_magasin,ca
13800,7286310.210000309
13314,4954346.509999852
20001,4837372.0200001905
74339,4704957.650000157
06829,4669147.820000083
06312,4652404.540000055
42830,4633373.369999871
38336,4607381.00999998
33848,4396928.369999933
74343,4032072.860000058
13840,3870848.6099999496
34210,3861218.129999841
38337,3687906.8099999214
75327,3672040.469999987
83820,3665953.359999876
69879,3572803.540000021
8802,3541673.619999283
83863,3496132.289999914
20003,3428112.919999992
83835,3349511.0699998303
13852,3337244.5899998536
91328,3304782.289999941
80205,3177777.399999942
33334,3146201.1199999163
33880,3069075.1099999207
73338,3060082.0899999104
15333,3016143.3099999363
63815,2949643.4099999126
34810,2923885.6199999414
21837,2882054.419999971
43313,2837051.3799999296
0098,2836800.390000063
31845,2834322.7999999644
13819,2806380.229999902
49350,2786215.9099999745
20004,2781641.53999999
0459,2766075.9500000207
1329,2700702.84000007
44324,2691153.3399999896
86319,2668007.229999974
47818,2655500.949999953
01341,2651798.57999996
89841,2627232.419999958
13764,2616340.85000001
30222,2606205.4599999017
38206,2600693.8999999673
25803,2561382.449999992
81826,2545194.8599999417
07317,2521538.759999938
0043,2492589.980000059
